Job Title,Company Name,Location,Skills,Salary,Responsibilitie,Date
Reliability Engineer I,North Oil Company Qatar -,"Doha, Qatar",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Java · Python · AWS · Software Engineering,N/A,N/A,N/A
Full-Time/Part-Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · communication skills,N/A,N/A,N/A
Data Analyst,Truelancer.com -,"Riyadh, Saudi Arabia",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Data Analyst-,PayTech Group -,"Dubai, United Arab Emirates",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Learning & Development Manager,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,N/A,N/A,N/A
Junior Business Intelligence Analyst (Remote),Kreativstorm -,"Dubai, United Arab Emirates",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Business Analysis · Engineering · BI · Python · SQL,N/A,N/A,N/A
Data Engineer,Procter & Gamble -,"Dubai, United Arab Emirates",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL,N/A,N/A,4 days ago
Data Scientist,Foreground. -,"Riyadh, Saudi Arabia",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,N/A,N/A,4 days ago
Part Time/Full Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · operations,N/A,N/A,N/A
Backend Tech Lead,Snoonu -,"Doha, Qatar",Experienced · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · PHP · Software Engineering · Python,N/A,N/A,N/A
Data Scientist,SupportFinity™ -,"Dubai, United Arab Emirates",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,N/A,N/A,N/A
Data Analyst,Blue Iris -,"Dubai, United Arab Emirates",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Data Analyst,Bayut KSA -,"Riyadh, Saudi Arabia",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Learning & Development Digitalization Manager,Almarai - المراعي -,"Riyadh, Saudi Arabia",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,N/A,N/A,N/A
Organizational Development Lead,Golf Saudi -,"Riyadh, Saudi Arabia",Entry Level · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Computer Engineering · Engineering,N/A,N/A,N/A
Data Analyst,HALA -,"Riyadh, Saudi Arabia",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Data Analyst,talabat -,"Kuwait City, Kuwait",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,N/A
Frappe developer,Dynamic Technology -,"Nasr City, Cairo, Egypt",Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software Development · Finance,N/A,N/A,N/A
Senior Odoo Developer,Confidential -,"Cleopatra, Alexandria, Egypt",Experienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Odoo · Programming · Software Development · Software,N/A,N/A,N/A
DevOps Engineer,Bright Creations -,"Smart Village, Giza, Egypt",Entry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · React · Computer Science · Information Technology (IT) · DevOps · Jenkins,N/A,N/A,N/A
System Administrator,PICO -,"Zamalek, Cairo, Egypt",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Communication · System Administration · Networks,N/A,N/A,N/A
Senior DevOps Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Jenkins · Software Development · Kubernetes,N/A,N/A,6 days ago
Full Stack Developer,Visit Ventures -,"New Cairo, Cairo, Egypt",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · PHP,N/A,N/A,4 days ago
Quality Assurance tester,Partner & More -,"New Cairo, Cairo, Egypt",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · QA · JIRA · Bugzilla · Quality Assurance · Cypress · Selenium · React Native · Firebase,N/A,N/A,N/A
AI Engineer,The Osiris Labs  -,"Mokattam, Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Account Management · Project Management · sales skills · Marketing · Management · Communication,N/A,N/A,N/A
Senior Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · JavaScript · React · Software Development · CSS,N/A,N/A,N/A
Senior Full Stack Developer,Ibn Sina Pharma -,"Maadi, Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · React · HTML · .Net · Node.js · CSS · JavaScript,N/A,N/A,N/A
Programming Trainer (Applications & Websites),GB Corp -,"6th of October, Giza, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Training/Instructor · Instructor · Training · Oracle · Microsoft SQL Server,N/A,N/A,N/A
IT system Administrator,Eduhive -,"Bolkly, Alexandria, Egypt",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · computer · Networks · Computer Engineering · Engineering · Network,N/A,N/A,N/A
Certified Odoo Developer,Confidential -,"Baghdad, Iraq",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Odoo ERP · Information Technology (IT),N/A,N/A,N/A
Senior Data Analyst,Goldentex -,"10th of Ramadan City, Sharqia, Egypt",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI,N/A,N/A,N/A
Senior Full Stack Developer,PACK ‘N’ MOVE LOGISTICS  -,"Heliopolis, Cairo, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · Angular · Computer Science · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java · JavaScript,N/A,N/A,N/A
System Administrator,Danat Travels  -,"Nasr City, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software · Communication · computer · Computer Science · Databases · Help desk · Information technology,N/A,N/A,N/A
